Вопрос,Ответ
г. о. Воскресенск МОУ Фаустовская СОШ. Выпустила детей из 9 класса только что. В 10 классе дети появятся сами или зачислять через заявления?,Мы ждём загрузку 1 и 10 классов
"Мытищи, гимназия 33. В разделе кадры не удается прикрепить предметы учителям начальных классов. Базовый набор предметов не работает!","Учителю начальных классов выбираем предметы из общего списка, как учителям-предметникам."
"Мария, сегодня будет ВКС по чек-листу о котором вчера говорил Бронштейн? Или достаточно того, что мы таблице написали?",Всю информацию о ВКС сообщат дополнительно
"Доброе утро. Наро-фоминский, Вышегородская школа - интернат для обуч с ОВЗ. В ЭЖД по-прежнему нет детей, переведённых ещё 2 недели назад. Тех поддержка молчит. Что делать","Нужно проверить РК ид образованияЕсли его нет, синхронизация"
"Здравствуйте. Верно ли я понимаю, что, если сейчас нет обучающихся 1 и 10 классов, то мы  ждем; а, если нет обучающихся со 2 по 10 класс - что делаем ( в техподдержку письмо отправили)?","Пока да, возможно 1 и 10 классы тоже придется дозаносить, пишем так: Коллеги, на текущий момент заносим вручную 2-9, 11 классы, по 1 и 10 работы еще продолжаются"
"У всех по понедельникам будет РОВ. Если вы выложите подробную инструкцию, как добавить внеурочку в расписание, то снимите много вопросов.В режиме пребывания по понедельникам первым уроком внеурочку занесли, что дальше?",Инструкцию по работе с внеурочкой выложим сегодня
"если в Справочнике Кадры в ЭЖД учителя есть, а в Обруче нет ни одного - тоже писать в СТП, да?",Да
Добрый день! А если нет вкладки НАСТРОЙКИ? Что делать?,Необходимо обращение в СТП
Доброе утро! При формировании уч.плана выдает «красные» окна с часами в некоторые недели (соответственного итого часов больше допустимого). Это из-за праздников и пр. Как быть? Высчитывать? Или можно не обращать внимание (как в инструкции написано)?,С этим ничего не делать. Оставляем в таком виде и сохраняем учебный план.
"Коллеги, здесь инструкция по добавлению кадров в обручете. Данные от 50 учителей по одной школе будут заноситься массово в СТП на основании направленных шаблонов, если в школе требуется внести менее 50 учителей, вносят по одному, согласно инструкции",Шаблоны необходимо сформировать администратору школы и направить в СТП
"Доброе утро!При переводе на 2023-2024 год классы задвоились,удалять вручную?",да
"По поводу синхронизации Обручета и журнала вопрос будет централизовано решается с разработчиками , сегодня после 15:00 дадим ответПросьба все ситуации, связанные с нестыковкой  обруча и журнала пока отложить, в ручную мы не успеваем всех проводить, и как показала практика в ряде случаев это не дает стопроцентный результат, поэтому все ждем централизованный ответ от разработки",Так и передать информацию админам?
"Раменский г. о., МОУ Раменская СОШ 5В 23-24 году при переводе классов классы были названы «5 А», без дефиса, это вызовет ошибки в создании расписания или подготовки к нему?","Классы необходимо указывать по формату ""Цифра-буква"""
"Коллеги, подскажите: почему может быть только английский язык в разделе «группы»?",Нет деления по подгруппам на экране группы по предмету
"Коллеги, здесь инструкция по добавлению кадров в обручете. Данные от 50 учителей по одной школе будут заноситься массово в СТП на основании направленных шаблонов, если в школе требуется внести менее 50 учителей, вносят по одному, согласно инструкции",Шаблоны необходимо сформировать администратору школы и направить в СТП
"Добрый день, простите за беспокойство, у вас случайно нет ссылки на сегодняшний вебинар по обучения админов? 🙏",https://edu.olymponline.ru/mesh_MO
"Скажите, как вывести шаблон учебного плана в учебные планы школы? Заходим в него, но нет справа никаких кнопок?","Необходимо перелогиниться, если проблема остается, сформировать обращение в СТП"
"Согласно новым ФОП НОО предметная область «основы религ.культур и светской этики», учебный  предмет- «основы рел.культур и светской этики»! Журнал предлагает в предметной области ДЕЛЕНИЕ предмета … Как быть?",Необходимо проверить выбор в шапке учебного плана именно ФГОС 3.0. В этом случае сразу виден нужный курс.
"СОШ 1 Сергиев Посад. В обр. учёте из 22-23 учебного года не переведены 4 классы, не отображается 5 параллель для перевода в 23-24 год","4 классы нельзя перевести. меняется уровень образования, надо их закрыть и 5 сделать вручную"
"а как создать программу с УО на 9 лет, если при создании обязательно выбрать уровень, а там их три: начальное, основное и среднее?",Необходимо программу разбивать на начальное и основное
"Мытищи, МБОУ Марфинская СОШСотрудникам были назначены роли администратор и завуч. В июне всё работало, сейчас нет доступа с этими правами. Кнопка обращения в техподдержку не работает.","Перелогиниться, если не помогло обращение в СТП"
"Подскажите как сделать 2, 5 часа в нагрузке?0,5 понятно",Проводить часы через неделю: первая неделя - 3 часа; вторая неделя - 2 часа
"Сколько нужно создать УП если все учащиеся изучают основной иностр. язык -английский, а второй иностр. язык все изучают французский язык?",Один
"Скажите, пожалуйста, расписание сейчас копировать на весь год. Или пока на первую неделю?","Если расписание не будет меняться в течение года, то можно скопировать на год. Если возможны варианты, то лучше пока на неделю или месяц."
"Еще вопрос: внесла неверно предмет в учебный план, затем обнулила, удалила, но сохранить не хочет, говорит нельзя удалять предметы",Удалять предметы из учебного плана нельзя.
"Добрый день. Подскажите, пожалуйста, как создать учебные планы, если в справочнике нет нужных адаптированных предметов. В тех. поддержку писала, пока ответа нет.",Необходимо проверить выбранный ФГОС и внимательно ознакомиться с презентацией по работе.
"Подскажите, почему не раскрываются группы? В чем может быть ошибка?","Проверить, есть ли привязка класса к учебному плану."
"г.о. Кашира МБОУ СОШ 3Как зачислять иностранных граждан, у них не СНИЛСов, ждать пока получат???","При внесении данных ДУЛ , обязательность с внесения СНИЛСа уходит"
Лицей2_ПротвиноУчитель при входе в МШ по ссылке https://authedu.mosreg.ru/ не может попасть в кабинет учителя. В справочнике Кадры весь профиль учителя заполнен. Что делать?,СНИЛС сотрудника
"Учебный план для 1 классов, создать получается, как его сохранить?",Есть кнопка Сохранить.
"г.о. Долгопрудный, МБОУ школа 7. Подскажите, пожалуйста, при распределении нагрузки учителей в 9 классе выдает дополнительно предмет «математика». Но в учебном плане математика разделена на алгебру, геометрию и вероятность и статистику (на эти предметы нагрузку распределила). Такую ошибку выдает только в 9 классе. Как в этом случае поступить? Задать нагрузку учителям?","Это нормально. Предмет ""математика"" в 9 классе потом будет нужен при выставлении отметки в аттестат."
Добрый день. Ликино-Дулевская гимназия. Не активна кнопка все лето. Есть смысл ждать активации или же вручную искать предметы? Он предметные области не проставляет,Для учителя начальных классов выбирать предметы вручную из списка и назначать эти предметы.
"Добрый день. Подскажите, если в классе часть детей изучает английский язык, а часть немецкий, должно быть два УП?",Да
"Дмитровский г.о. МОУ Дмитровская СОШ № 1Внесла расписание во 2 класс с 01.09, 4.09-08.09. У учителя в ЛК вот такая картина на август. Как быть?",Создать расписание с 4 сентября
Добрый день! Не получается войти во ФГИС Моя Школа,возможно ссылка не та
"Подскажите, как добавлять детей без данных (ученик 1, ученик 2...)?",Есть ответ в чат-боте
"Мытищи Сош 14Утром в техподдержку отправлено обращение SD24951310 о том, что невозможно выпустить приказ из черновика-сбой системы(ответа нет),В течении дня удали черновики и пытались выпустить новый приказ-детей нет в старом году🤷🏼‍♂️, второе обращение SD24967279; Помогите хотябы вернуть детей🙏🏻🤷🏼‍♂️",Прохоров Ты можешь отменить приказ?
"МОУ СОШ 1 г. Талдома, у нас кадры не привязываются к зданиям!!!!!!!!!!! Сколько можно об одном и том же????????? Подождать еще 40-50-200 минут???????","Необходимо к каждому классу привязать режим пребывания и начать создавать расписание по классам, а не по учителям."
"МОУ ""Ивановская СОШ"" г.о. Истра.В обручете 2022-23 уч.год ученики находятся в тех классах, в которых они должны обучаться в 23-24 уч.году.Как перевести? Также нет выбора года на перевод. Только 22-23.",Переводить обычным порядком в нужные классы
"У меня есть мама, которая отказалась подавать заявление через госуслуги и отказалась от автоматизированной обработки персональных данных. Что с таким ребёнком делать?","Во ФГИС Моя школа есть функционал деперсонализации, нужно завести ученика (понадобятся документы) и потом его деперсонализировать, в ЭЖ ФИО будет отражаться со звездочками"
"Во ФГИС Моя школа есть функционал деперсонализации, нужно завести ученика (понадобятся документы) и потом его деперсонализировать, в ЭЖ ФИО будет отражаться со звездочками",Завести в обручет через приказ о переводе?
"Я выполнила все шаги по инструкциям, но расписание я создать не могу, это может быть связано именно с привышением нагрузки?",Превышение у учителя? Или превышение по учебному плану
"Подскажите, что делать?",этот вопрос направлен разработчикам и ждём его решения
"У меня получается, что на неделю не распределено уроков, что с этим делать?",А расписание сделано?
Есть инструкция по внесению расписания?,Есть общая инструкция для администратора.
"Подскажите пожалуйста, как добавить СНИЛС родителя при подаче заявления, если он иностранный гражданин?",Заполнить данные ДУЛ
"Скажите, пожалуйста: как решать вопрос с математикой? Если ставить в общей строке «математика» 6ч, то он проставляет 6ч всем предметам (статистика, геометрия и пр)… и это уже перебор часов..","Это общее количество часов ро всем предметам.  Необходимо 6 часов поставить только в строке ""математика""."
"Поясните, если мы видим в расписании на август (!) массу задвоенные уроков, а начиная с сентября все нормально, нам нужно удалить все расписания всех классов и забить их заново?!!!! В журналах отражается только сентябрь.",Скоин пришлите
"В кадрах нет возможности удалить, тк этих учителей нет на приеме, значит их сначало нужно вносить?","Непонятно, в обручете в реестре нет ни одного учителя. Они есть в организации обучения. Ещё и учителей всех вручную вносить? Или только новых?"
"Непонятно, в обручете в реестре нет ни одного учителя. Они есть в организации обучения. Ещё и учителей всех вручную вносить? Или только новых?","А нам старого удалить надо, из эжд"
"2,3,4 классы все дети в 4 параллели; 5,6,7,8,9 все дети в 9 параллели.Так и должно быть?","Нет все должны быть по своим параллелям. Нужно проверить год освоения программы в настройках классов, похоже поставили не год освоения, а срок программы. Если там все правильно, то обращение в техподдержку"
"Уточните, пожалуйста, Можно ли немного перенести завтрашнее задание,которое до 9:00 до воскресения, потому что вносить собственноручно более 300 человек и после ещё удалятьОчень прошу 🙏🏻","Присоединяюсь к коллеге! Не факт, что система будет работать без сбоев и не факт, что новые дети будут отчислены коллегами из других школ. Невозможно всё выполнить, проблемы разные возникают."
А как можно изменить эти данные (год освоения)?,Обручет - организации - классы - нажимаете на класс и откроется таблица
"Подскажите, пожалуйста, если я выпустила приказ и ребёнка вместо перевода в девятый, отправила в 10-й классКак исправить","Попросить приказ, отменить. Или сделать ещё 1 приказ"
"2. Вопрос у нас в школе директор ведёт ещё уроки. Прислали приказ нагрузка должна быть 9 часов. А у неё больше. (5 часа русского языка, 4 лит.чтение и 5 математики). Хотим 5 часов математики вывести на вакансию. Как правильно это сделать в журнале?","Делайте расписание так, как есть на самом деле."
"Если 1 класс появился в ЭЖ, но не появился в Обручете, тогда не надо ждать и добавлять самим?","Нет, надо ждать"
"Добрый вечер. МОУ ""Покровская СОШ"", г. о. Истра. Была информация, что 9 утра субботы нужно всех перевести в новый учебный год. Всех ""новеньких"" детей (которые добавляются вручную) тоже до утра?",Да
"Здравствуйте! У нас в связи с реорганизацией МОУ Юровскую СОШ присоединили к МОУ СОШ 11 п. Дружба. Контингент детей и учителей отсутствует в кабинете МОУ СОШ 11 п. Дружба. Заявку система сбрасывает, как быть?",Работы по реорганизованным школам должны быть завершены сегодня
"Добрый вечер. Создаю заявление для недостающих учеников и уже у второго ребенка конфликт "" внимание! Обнаружена персона с таким же документом: Иванов Иван Иванович (fjghj45-gjkcgu67-4578ghj).  Написала в техподдержку.Что это значит?",В чат-боте инструкция по решению конфликтов
"Добрый вечер! МБОУ СОШ №11 Красногорск На 19.52 сегодня ничего не изменилось в системе1)в обручете 14272)в ЭЖД (Моя школа) 144 (это первоклассники)3)в обручете нет первокласников и десятиклассников, а также не хватает остальных детей (по факту в школе 1648)что делать дальше? расписание вносить не можем (нет классов (и детей  в них)",Приказ о переводе на следующий год выпущен?
"На первом фото открыто подменю, нажимаешь на кадры или контингент открывается просто рабочий стол","По этому фото понятно, что роль администратора есть. Надо заполнить другие разделы справочника, кроме кадров и контингента"
"Как удалить уволенного сотрудника? В Обручете не получается создать приказ, не активна кнопка сохранить",Пока через СТП
"Скажите, пожалуйста, внеурочку куда нужно вставлять в расписании как основное или в другую вкладку,где написано внеурочная деятельность?",Выше была пещентация по внеурочке. Перешлю
"Серпухов МБОУ СОШ № 4 . При создании класса, выдаёт такое сообщение. Класс уже существует. Но класса нет. Я не могу детей из 4-х классов перевести в 5!( Что делать?!",Обращение в СТП
"Вбиваем вручную 1 и 10 классы, правильно я поняла?","Если ученика нет ни в  обручете ни в ЭЖ то вбиваем, если хоть где то есть, то нет"
"Можно ли создать расписание к параллелям, классов нет","Нет, только к каждому классу"
"А если ученика внесли через заявление, а он в журнале не появился. Ждём?","3 дня назад вносили до сих пор нет, что делать"
"Добрый вечер. Жуковский, МБОУ - школа №9, извините, что в личку. Не могу отчислить или перевести в рамках параллели ни одного ребёнка, всегда появляется одна и та же ошибка. Нужно писать в тех поддержку по каждому ребёнку? Или это что-то массовое?",Написать в СТП по нескольким детям и сообщить что так по всем
"Скажите, пожалуйста, как убрать лишние классы?",Проверить нагрузку учителя.
"Уточните, пожалуйста, ещё раз по Учебным курсам. Предметы, которые нам нужны, они в Предметах, а не в учебных курсах ( математика, русский язык, биология, однкнр). Что делать в такой ситуации?",Указанные предметы находятся именно в разделе предметы. Учебные курсы не совпадают по названию с учебными предметами.
"А что тогда делать с планом? Он не сохраняется, если я 1 час математики добавлю к математике в предметах. Учебный курс остаётся пустой, он не сохраняется.",В учебный курс надо выбрать любой дочерний предмет и поставить 0 часов
МБОУ лицей №4 г.о. Красногорск 1. Детей в систему не могу добавить. Система висит. 2. Количество детей в организации обучения  не соответствует количеству детей в образовательном учете 3. 1 и 10 классы не добавлены в образовательный учет Помогите решить эту проблему.,"Если при поиске контингент появляется ошибка, вероятнее всего, его не отчислили из прошлой ООНеобходимо обращение в СТП"
"Так же не должно быть, чтобы все школы видны были. Ни у кого ещё не встретила такой проблемы из пользователей",Укажите ФИО данного сотрудника и краткое наименование ОО
"Если в ЭЖ нет учащихся, то их не передавали на загрузкуНужно внести в Образовательный учет и выпустить приказ - они сразу же попадут в ЭЖ","Коллеги, это ответ Москвы на вопрос вбивать или не вбивать"
"Я очень извиняюсь,прям представляю как вы перегружены вопросами, но не могу найти инструкцию или где написано, что мы делаем с 4 и 9 классами, которые переходят на другую образовательную программу, потому что перевести при копировании классов на след, учебный год и указание напротив 4➡️ 5 класс, выдает ошибку что по программе начального образования обучения длится 4 года","При копировании классов на следующий год из списка исключаются выпускные классы по всем уровням образования - 4, 9 и 11. Их надо создать отдельно. Приказ о переводе позволяет перевести все классы на следующий год"
"Если классы есть, даже без детей, можете к ним прикреплять и УП и аттест. периоды и режимы пребывания.",В ЭЖ разве могут быть классы без детей?
Почему ошибка при попытке сохранить надомное обучение?,"Проверить, для этого ученика создан свой учебный план?"
"Солнечногорск, МБОУ Ложковская СОШВ подсистеме ""Организация обучения"" есть дети, у которых отсутствуют законные представители. По подсистеме ""Образовательный учет"" у данных детей тоже нет информации о родителях. Вопросы:1. Необходимо ли сейчас производить какие-либо действия с родителями?2. Если да, то что делать?3. Если добавлять, то как добавить родителя, у которого обучаются два и более ребенка в школе, чтобы был 1 профиль?","Родителей пока не надо, потом можно заполнить будет"
"го Воскресенск МОУ Лицей им. Стрельцова ПВ. И в обр.учете, и в ЭЖ в 10 кл по 2-3 человека . Еще ждать догрузки? 1х классов ни там, ни там.",1 классов нет в выгрузке шп их школы
Хочу перевести учеников из одного класса в другой по решению ПМПК. Выпустить приказ не могу.,"проблема решается, массовый сбой"
"г.о. Воскресенск, МОУ «Лицей № 23»: 🔥🔥🔥Пишу в группу уже 3-й день! Ни в Обручете, ни в ЭЖ нет 5-х, 6-х, 7-х, 8-х, 9-х и 11- х  классов.В 1-х и 10-х классах находятся  от 3-х до 10 чел. Нам добавлять всех вручную ( более 1500 обучающихся!)?","Если нет ни в обручете ни в ЭЖ, то добавлять вручную"
"При составлении заявления ребенка на перевод забыли поставить галочку ВАЛИДНОСТЬ. При редактировании поставили галочку, но валидность не появилась. Что делать? Дмитрий","Подскажите, что ответить сотруднику?"
"Скажите, пожалуйста, в Организации обучения в 22-23 у.г. у меня 800 с лишним деток. А в 23-24 119. При этом в обручете, все, кого я смогла 700 с чем то, я перевела на 23-24 учебн7ый год. Почему в 22-23 год детей добавили без проблем, а в новом учебном году никак они в Организации обучения не появятся? Большинство из них те же самые дети, но на класс старше.",Обращение в СТП
"Подскажите, что делать, система не дает загружать учеников через перевод. Есть ли какие то проблемы сейчас? Или проблема в моей технике? СПТ молчит пока. Прошел час уже","Надо попробовать еще раз через 15 мин, если не поможет сформировать обращение в поддержку"
"Если есть в эж, то в Обручет надо добавлять в ручную?",Нет
"Подскажите,пожалуйста,по поводу переноса сроков хотя бы на суткиНе было информации ?",Не было
"А если 1 и 10 классы до сих пор подгружаются (постоянно увеличивается контингент), нужно что-то делать?","Нет, ждать"
"МБОУ Ильинская СОШ г. о. Красногорск: нет НИ ОДНОГО ребёнка 2-9 классов ( хотя в начале лета их было примерно 70% от нужного количества), а теперь нет ни одного ученика",Заного вносить вручную?
"Если ребёнок есть в Школьном портале, но его нет ни в Обручете, ни в ЭЖД и при поиске в региональном контингенте при создании заявления на перевод его тоже нет, что тогда делать?",вносить руками
"Мне сегодня обещали, что к концу августа добавят адаптированные предметы в справочник. Ждём...","Все адаптированные предметы по ФГОС  добавлены. Если не хватет учебного курса, то школы могут их внести."
"Подскажите, пожалуйста, 1-й класс вручную через заявление на приём или заявление на перевод зачислять?",Заявление на прием
"Уважаемые коллеги, информация по работе с разделом ""Внеурочная деятельность"" и отельная информация по работе с обучающимися с ОВЗ.",Для рассылки в чаты?
"В школе на начальном уровне класс-комплект, как сделать, чтобы 1 учителю поставить на один урок 2 и 4 класс вместе?","Необходимо создать метагруппу. Но, сомневаюсь, что 2 и 4 класс соединятся. Система может не понять."
"Г. О. Серпухов, МБОУ СОШ 17 в обр учете дети переведены на 2023/2024 уч год в количестве 840 человек. В организации обучения так еще и не появились. Когда ждать?","не обращать внимание на Обручет, если все переведены"
при добавлении в контингент дает ошибку на дпнные родителей,"Проверить номера телефонов, не должно быть одинаковых"
"Помогите, пожалуйста. Режимы пребывания слетели. Снова создаю, НО ОШИБКА!!! не дает сохранить",В СТП
"При создании учебного плана выдает ошибку - учебный план не может быть сохранен, необходимо добавить дочерний предмет для иностранного языка. Дочерних предметов предлагается два - иностранный язык  и второй иностранный язык , но у нас в начальной школе только один иностранный язык. Как сохранить учебный план в такой ситуации?",Добавить любой дочерний предмет и поставить 0 часов.
